,CHAN1,CHAN2,CHAN3,CHAN4,time
311,-9.628,3.2,-6.08,6.0544,-0.0001445
312,-9.628,3.04,-6.0,6.0544,-0.00014399999999999998
313,-9.976,3.2,-6.08,5.984,-0.0001435
314,-9.976,3.04,-6.08,5.913600000000001,-0.00014299999999999998
315,-9.628,3.2800000000000002,-6.0,6.1248000000000005,-0.0001425
316,-9.628,3.12,-6.0,6.0544,-0.00014199999999999998
317,-9.976,3.2800000000000002,-6.08,5.913600000000001,-0.00014149999999999997
318,-9.628,3.2,-6.0,5.984,-0.00014099999999999998
319,-9.976,3.2800000000000002,-6.08,6.0544,-0.00014049999999999997
320,-9.628,3.2,-6.0,6.0544,-0.00014
321,-9.976,3.36,-6.16,5.913600000000001,-0.00013949999999999998
322,-9.628,3.2,-6.0,5.984,-0.000139
323,-9.976,3.36,-6.08,6.0544,-0.00013849999999999998
324,-9.628,3.2,-6.08,5.984,-0.000138
325,-9.976,3.36,-6.0,6.0544,-0.00013749999999999998
326,-9.628,3.2800000000000002,-6.0,5.984,-0.00013699999999999997
327,-9.976,3.36,-6.08,6.0544,-0.00013649999999999998
328,-9.628,3.36,-6.0,6.0544,-0.00013599999999999997
329,-9.976,3.2800000000000002,-6.08,5.984,-0.0001355
330,-9.976,3.2800000000000002,-6.08,5.984,-0.00013499999999999997
331,-9.628,3.44,-6.0,6.0544,-0.0001345
332,-9.976,3.44,-6.0,5.984,-0.00013399999999999998
333,-9.628,3.2800000000000002,-6.08,6.0544,-0.0001335
334,-9.976,3.44,-6.08,5.984,-0.00013299999999999998
335,-9.628,3.2800000000000002,-6.0,6.0544,-0.00013249999999999997
336,-9.628,3.36,-6.0,6.0544,-0.00013199999999999998
337,-9.976,3.44,-6.08,5.984,-0.00013149999999999997
338,-9.628,3.36,-6.0,5.984,-0.00013099999999999999
339,-9.976,3.52,-6.08,6.0544,-0.00013049999999999997
340,-9.628,3.36,-6.0,5.984,-0.00013
341,-9.976,3.52,-6.08,6.0544,-0.00012949999999999998
342,-9.628,3.52,-6.0,6.0544,-0.000129
343,-9.976,3.36,-6.08,5.984,-0.00012849999999999998
344,-9.628,3.52,-6.0,6.0544,-0.000128
345,-9.976,3.44,-6.08,5.913600000000001,-0.00012749999999999998
346,-9.976,3.44,-6.08,6.0544,-0.00012699999999999997
347,-9.628,3.6,-6.0,5.913600000000001,-0.00012649999999999998
348,-9.976,3.44,-6.0,5.984,-0.00012599999999999997
349,-9.628,3.6,-6.08,6.0544,-0.0001255
350,-9.628,3.44,-6.0,5.984,-0.00012499999999999998
351,-9.976,3.6,-6.08,6.0544,-0.0001245
352,-9.628,3.6,-6.0,5.913600000000001,-0.00012399999999999998
353,-9.976,3.44,-6.16,6.1248000000000005,-0.0001235
354,-9.628,3.6,-6.0,6.0544,-0.00012299999999999998
355,-9.976,3.52,-6.08,5.984,-0.00012249999999999997
356,-9.628,3.52,-6.0,6.0544,-0.00012199999999999998
357,-9.976,3.68,-6.08,5.913600000000001,-0.00012149999999999997
358,-9.628,3.52,-6.16,5.984,-0.00012099999999999999
359,-9.976,3.68,-5.92,6.0544,-0.00012049999999999997
360,-9.976,3.52,-6.0,5.984,-0.00011999999999999999
361,-9.628,3.68,-6.08,6.0544,-0.00011949999999999998
362,-9.976,3.68,-6.0,5.984,-0.00011899999999999999
363,-9.628,3.6,-6.16,6.0544,-0.00011849999999999998
364,-9.976,3.68,-6.0,6.0544,-0.000118
365,-9.628,3.6,-6.16,5.984,-0.00011749999999999998
366,-9.628,3.6,-6.0,6.0544,-0.00011699999999999997
367,-9.976,3.7600000000000002,-6.08,5.984,-0.00011649999999999999
368,-9.628,3.7600000000000002,-6.0,5.984,-0.00011599999999999997
369,-9.976,3.6,-6.08,6.0544,-0.00011549999999999999
370,-9.628,3.6,-6.0,6.0544,-0.00011499999999999998
371,-9.976,3.7600000000000002,-6.08,5.984,-0.00011449999999999999
372,-9.628,3.7600000000000002,-6.08,6.0544,-0.00011399999999999998
373,-9.976,3.68,-6.0,5.984,-0.0001135
374,-9.628,3.68,-6.08,6.0544,-0.00011299999999999998
375,-9.976,3.84,-6.0,5.984,-0.00011249999999999997
376,-9.628,3.68,-6.0,5.984,-0.00011199999999999998
377,-9.976,3.92,-6.08,6.0544,-0.00011149999999999997
378,-9.628,3.68,-6.0,5.984,-0.00011099999999999999
379,-9.976,3.92,-6.16,6.0544,-0.00011049999999999998
380,-9.628,3.84,-6.0,6.0544,-0.00010999999999999999
381,-9.976,3.92,-6.08,5.913600000000001,-0.00010949999999999998
382,-9.628,3.84,-6.0,6.0544,-0.00010899999999999999
383,-9.976,4.0,-6.08,5.984,-0.00010849999999999998
384,-9.628,3.84,-6.0,5.984,-0.00010799999999999997
385,-9.976,4.0,-6.08,6.0544,-0.00010749999999999998
386,-9.976,3.84,-6.0,6.0544,-0.00010699999999999997
387,-9.628,4.0,-6.08,5.984,-0.00010649999999999999
388,-9.976,3.84,-6.0,5.984,-0.00010599999999999997
389,-9.512,4.0,-6.08,6.0544,-0.00010549999999999999
390,-9.628,4.0,-6.0,5.913600000000001,-0.00010499999999999998
391,-9.976,3.84,-6.08,6.1248000000000005,-0.00010449999999999999
392,-9.628,3.92,-6.0,6.0544,-0.00010399999999999998
393,-9.976,4.08,-6.08,5.984,-0.0001035
